vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,geschlecht,alter,internetnutzung,arztbesuche,
Cheo31,29,,4,1.4,90,8,39,m,f,21,26,4,
Cher22,29,,1,1.5,91,47,,m,m,21,17,6,
Cher22,29,2,2,1.8,86,10,38,m,m,21,17,6,
Cher22,29,,3,1.8,92,5,39,m,m,21,17,6,
Cher22,29,,4,1.4,85,34,,f,m,21,17,6,
Cher22,18,1,1,1.3,97,11,26,m,m,21,17,6,
Cher22,18,,2,2.1,70,100,40,m,m,21,17,6,
Cher22,18,,3,1.1,97,15,30,m,m,21,17,6,
Cher22,18,,4,2.0,78,105,12,f,m,21,17,6,
Cher22,16,,1,1.5,83,5,38,m,m,21,17,6,
Cher22,16,,2,2.4,77,94,36,m,m,21,17,6,
Cher22,16,,3,1.7,87,12,12,f,m,21,17,6,
Cher22,16,4,4,2.3,71,101,28,m,m,21,17,6,
Cher22,15,1,1,1.6,83,45,40,m,m,21,17,6,
Cher22,15,,2,2.0,70,73,32,m,m,21,17,6,
Cher22,15,,3,1.8,88,27,29,m,m,21,17,6,
Cher22,15,,4,2.4,72,78,22,f,m,21,17,6,
Cher22,28,,1,1.5,93,5,27,m,m,21,17,6,
Cher22,28,2,2,1.7,83,6,41,m,m,21,17,6,
Cher22,28,,3,1.5,85,118,,m,m,21,17,6,
Cher22,28,,4,1.4,87,103,,m,m,21,17,6,
Cher22,33,,1,1.4,85,13,36,m,m,21,17,6,
Cher22,33,,2,1.9,72,6,,m,m,21,17,6,
Cher22,33,3,3,1.5,87,15,33,m,m,21,17,6,
Cher22,33,,4,2.4,79,12,,m,m,21,17,6,
Cher22,19,1,1,2.0,72,48,41,m,m,21,17,6,
Cher22,19,,2,1.6,93,10,24,f,m,21,17,6,
Cher22,19,,3,2.0,66,27,23,f,m,21,17,6,
Cher22,19,,4,1.8,89,14,11,f,m,21,17,6,
Cher22,23,1,1,1.0,97,12,41,m,m,21,17,6,
Cher22,23,,2,1.8,92,21,38,m,m,21,17,6,
Cher22,23,,3,1.1,98,9,12,f,m,21,17,6,
Cher22,23,,4,1.4,88,36,21,f,m,21,17,6,
Cher22,34,,1,1.0,95,8,39,m,m,21,17,6,
Cher22,34,,2,2.3,75,6,,m,m,21,17,6,
Cher22,34,,3,2.0,68,15,,m,m,21,17,6,
Cher22,34,4,4,1.2,97,12,34,m,m,21,17,6,
Cher22,6,,1,1.8,93,47,,m,m,21,17,6,
Cher22,6,,2,1.6,93,38,,m,m,21,17,6,
Cher22,6,3,3,2.2,66,103,,f,m,21,17,6,
Cher22,6,,4,2.4,72,108,,m,m,21,17,6,
Cher22,8,,1,2.3,70,115,,m,m,21,17,6,
Cher22,8,,2,2.4,68,78,,m,m,21,17,6,
Cher22,8,,3,1.2,96,27,,m,m,21,17,6,
Cher22,8,4,4,1.0,95,29,,m,m,21,17,6,
Cher22,30,1,1,2.1,79,89,,m,m,21,17,6,
Cher22,30,,2,2.2,73,48,15,f,m,21,17,6,
Cher22,30,,3,2.0,71,89,,f,m,21,17,6,
Cher22,30,,4,2.2,78,38,20,f,m,21,17,6,
Cher22,9,,1,1.2,97,7,,m,m,21,17,6,
Cher22,9,,2,1.3,96,11,,m,m,21,17,6,
Cher22,9,,3,2.2,77,72,,f,m,21,17,6,
Cher22,9,4,4,2.0,73,102,,f,m,21,17,6,
Cher22,24,,1,1.3,97,96,,f,m,21,17,6,
Cher22,24,,2,1.1,97,36,39,m,m,21,17,6,
Cher22,24,3,3,1.1,100,35,18,f,m,21,17,6,
Cher22,24,,4,1.3,100,115,,f,m,21,17,6,
Cher22,20,1,1,2.3,66,45,37,m,m,21,17,6,
Cher22,20,,2,2.2,78,22,16,f,m,21,17,6,
Cher22,20,,3,1.0,100,14,41,m,m,21,17,6,
Cher22,20,,4,1.0,100,10,36,m,m,21,17,6,
Cher22,13,1,1,1.1,95,14,,f,m,21,17,6,
Cher22,13,,2,1.1,100,13,,m,m,21,17,6,
Cher22,13,,3,1.4,82,97,,m,m,21,17,6,
Cher22,13,,4,1.8,83,113,,f,m,21,17,6,
Cher22,38,,1,1.7,85,49,,m,m,21,17,6,
