vpID;scenID;choice;locPos;note;prozent;anzahl;photoID;sex;
anrd16;19;1;1;1.7;91;13;30;m;
anrd16;19;;2;2.2;69;25;18;f;
anrd16;19;;3;1.6;88;6;11;f;
anrd16;19;;4;2.2;73;45;35;m;
anrd16;30;;1;2.0;73;42;14;f;
anrd16;30;;2;2.0;69;41;20;f;
anrd16;30;;3;2.4;69;103;;f;
anrd16;30;4;4;2.1;72;113;;m;
anrd16;25;;1;1.3;100;8;27;m;
anrd16;25;;2;1.3;99;91;;f;
anrd16;25;3;3;1.2;100;91;;f;
anrd16;25;;4;1.1;96;13;12;f;
anrd16;29;;1;1.5;88;30;;m;
anrd16;29;2;2;1.6;93;42;;m;
anrd16;29;;3;1.4;86;10;14;f;
anrd16;29;;4;1.5;84;14;40;m;
anrd16;23;;1;1.3;96;5;38;m;
anrd16;23;;2;1.5;93;33;34;m;
anrd16;23;3;3;1.2;96;14;17;f;
anrd16;23;;4;1.6;94;36;18;f;
anrd16;10;;1;1.7;92;15;;m;
anrd16;10;;2;2.2;70;36;;f;
anrd16;10;3;3;1.4;85;7;;m;
anrd16;10;;4;1.9;77;38;;f;
anrd16;33;;1;2.0;72;5;;m;
anrd16;33;2;2;1.5;88;11;27;m;
anrd16;33;;3;1.8;83;10;36;m;
anrd16;33;;4;2.3;78;7;;m;
anrd16;34;1;1;1.1;98;6;14;f;
anrd16;34;;2;1.1;96;5;37;m;
anrd16;34;;3;2.0;71;6;;m;
anrd16;34;;4;2.3;77;14;;f;
anrd16;27;;1;1.8;85;118;;m;
anrd16;27;;2;1.4;90;42;41;m;
anrd16;27;3;3;1.4;91;40;40;m;
anrd16;27;;4;1.8;87;102;;m;
anrd16;16;;1;1.4;85;6;19;f;
anrd16;16;;2;2.4;68;70;27;m;
anrd16;16;;3;2.4;66;81;40;m;
anrd16;16;4;4;1.6;91;11;36;m;
anrd16;6;;1;2.4;73;91;;m;
anrd16;6;;2;1.5;82;22;;f;
anrd16;6;3;3;1.8;89;24;;f;
anrd16;6;;4;2.1;66;97;;m;
anrd16;38;;1;1.3;96;33;19;f;
anrd16;38;;2;1.6;83;23;;m;
anrd16;38;;3;1.7;88;44;;f;
anrd16;38;4;4;1.0;97;39;18;f;
anrd16;17;;1;2.2;74;111;41;m;
anrd16;17;2;2;1.1;97;32;25;m;
anrd16;17;;3;2.4;67;78;39;m;
anrd16;17;;4;1.2;95;50;16;f;
anrd16;14;;1;1.7;84;36;;m;
anrd16;14;2;2;1.2;99;13;;m;
anrd16;14;;3;1.2;96;8;;m;
anrd16;14;;4;1.8;87;31;;m;
anrd16;32;1;1;1.9;66;38;;f;
anrd16;32;;2;2.0;74;14;38;m;
anrd16;32;;3;2.0;69;40;;f;
anrd16;32;;4;2.2;76;42;;f;
anrd16;13;1;1;1.0;100;15;;m;
anrd16;13;;2;1.7;87;110;;f;
anrd16;13;;3;1.6;89;117;;f;
anrd16;13;;4;1.1;98;12;;m;
anrd16;18;1;1;1.1;96;10;38;m;
anrd16;18;;2;1.2;96;13;21;f;
anrd16;18;;3;2.0;78;118;29;m;
anrd16;18;;4;2.1;76;76;27;m;
anrd16;39;1;1;1.5;90;102;38;m;
anrd16;39;;2;1.4;89;75;16;f;
anrd16;39;;3;2.3;66;102;;f;
anrd16;39;;4;1.9;74;101;;m;
anrd16;21;;1;1.3;99;24;38;m;
anrd16;21;;2;1.6;92;95;12;f;
anrd16;21;;3;1.8;94;80;13;f;
anrd16;21;4;4;1.2;96;35;36;m;
anrd16;24;;1;1.3;96;28;16;f;
anrd16;24;2;2;1.0;97;111;;m;
anrd16;24;;3;1.3;95;112;;f;
anrd16;24;;4;1.1;98;27;19;f;
anrd16;12;;1;1.0;96;44;;f;
anrd16;12;;2;1.5;90;119;;m;
anrd16;12;3;3;1.2;99;42;;m;
anrd16;12;;4;1.4;86;106;;f;
anrd16;31;;1;2.2;76;5;30;m;
anrd16;31;2;2;2.1;68;77;;m;
anrd16;31;;3;2.4;72;111;;m;
anrd16;31;;4;2.0;67;6;39;m;
anrd16;20;;1;1.9;72;34;17;f;
anrd16;20;;2;2.4;67;49;16;f;
anrd16;20;;3;1.2;99;9;13;f;
anrd16;20;4;4;1.3;100;13;39;m;
anrd16;22;1;1;1.1;100;5;31;m;
anrd16;22;;2;1.8;94;107;14;f;
anrd16;22;;3;1.8;94;86;11;f;
anrd16;22;;4;1.1;96;12;19;f;
anrd16;28;;1;1.6;80;101;;f;
anrd16;28;2;2;1.4;83;12;34;m;
anrd16;28;;3;1.7;90;99;;m;
anrd16;28;;4;1.7;90;13;23;f;
anrd16;7;1;1;1.6;85;8;;m;
anrd16;7;;2;1.7;80;9;;m;
anrd16;7;;3;2.1;78;113;;f;
anrd16;7;;4;2.2;75;120;;m;
anrd16;8;;1;1.3;99;25;;f;
anrd16;8;;2;2.2;72;76;;m;
anrd16;8;3;3;1.0;97;28;;m;
anrd16;8;;4;2.2;68;110;;f;
anrd16;37;;1;1.3;100;23;24;f;
anrd16;37;2;2;1.0;97;43;31;m;
anrd16;37;;3;2.3;66;36;;f;
anrd16;37;;4;2.1;78;24;;m;
anrd16;9;;1;2.1;70;81;;m;
anrd16;9;;2;2.1;76;86;;m;
anrd16;9;;3;1.2;100;12;;f;
anrd16;9;4;4;1.0;97;15;;m;
anrd16;26;1;1;1.1;100;43;;m;
anrd16;26;;2;1.3;99;43;;f;
anrd16;26;;3;1.0;96;11;26;m;
anrd16;26;;4;1.0;96;8;15;f;
anrd16;41;;1;1.4;88;112;;f;
anrd16;41;2;2;1.1;100;116;25;m;
anrd16;41;;3;1.5;92;81;;m;
anrd16;41;;4;1.0;96;84;39;m;
anrd16;11;;1;1.1;95;12;;m;
anrd16;11;2;2;1.1;99;8;;m;
anrd16;11;;3;2.3;78;25;;f;
anrd16;11;;4;2.1;71;38;;f;
anrd16;15;;1;2.1;71;77;17;f;
anrd16;15;;2;2.3;70;99;11;f;
anrd16;15;;3;1.6;86;43;26;m;
anrd16;15;4;4;1.4;92;30;30;m;
bart10;40;;1;2.3;67;104;;f;
bart10;40;2;2;1.1;98;106;36;m;
bart10;40;;3;2.4;67;113;;f;
bart10;40;;4;1.0;97;116;26;m;
bart10;17;;1;1.1;99;21;30;m;
bart10;17;2;2;1.1;98;45;11;f;
bart10;17;;3;2.2;72;91;31;m;
bart10;17;;4;2.0;67;119;41;m;
bart10;35;;1;1.1;99;6;27;m;
bart10;35;;2;1.5;81;12;;f;
bart10;35;3;3;1.0;95;12;32;m;
bart10;35;;4;1.8;86;9;;m;
bart10;14;1;1;1.1;99;11;;f;
bart10;14;;2;1.7;83;28;;m;
