vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,
Bert27,34,,3,1.0,95,6,13,f,
Bert27,34,,4,2.3,70,6,,f,
Bert27,18,,1,1.9,75,89,11,f,
Bert27,18,2,2,1.9,79,106,28,m,
Bert27,18,,3,1.3,95,7,23,f,
Bert27,18,,4,1.1,98,13,38,m,
Bert27,7,,1,1.7,82,5,,f,
Bert27,7,,2,1.4,89,13,,f,
Bert27,7,3,3,2.1,77,114,,m,
Bert27,7,,4,2.1,68,87,,f,
Bert27,22,,1,1.2,99,12,35,m,
Bert27,22,2,2,1.6,87,100,25,m,
Bert27,22,,3,1.8,92,70,39,m,
Bert27,22,,4,1.3,97,8,27,m,
Bert27,12,,1,1.6,84,70,,f,
Bert27,12,,2,1.4,94,91,,f,
Bert27,12,,3,1.3,100,24,,f,
Bert27,12,4,4,1.2,95,50,,f,
Bert27,40,,1,2.4,79,118,,f,
Bert27,40,,2,2.0,71,106,,f,
Bert27,40,3,3,1.0,99,92,22,f,
Bert27,40,,4,1.2,95,102,37,m,
Bert27,37,,1,2.4,75,21,,m,
Bert27,37,2,2,1.1,96,32,11,f,
Bert27,37,,3,2.2,74,27,,f,
Bert27,37,,4,1.1,96,21,33,m,
Bert27,36,,1,1.7,88,36,25,m,
Bert27,36,2,2,1.4,83,36,23,f,
Bert27,36,,3,2.2,77,23,,m,
Bert27,36,,4,2.0,74,30,,m,
Bert27,38,,1,1.2,95,32,37,m,
Bert27,38,,2,1.7,81,41,,m,
Bert27,38,,3,1.6,80,20,,m,
Bert27,38,4,4,1.0,97,20,35,m,
Bert27,17,,1,2.1,74,76,28,m,
Bert27,17,2,2,1.0,96,43,29,m,
Bert27,17,,3,1.1,97,31,11,f,
Bert27,17,,4,2.1,79,92,35,m,
Bert27,19,,1,2.3,76,45,23,f,
Bert27,19,,2,1.5,84,5,34,m,
Bert27,19,,3,2.3,73,26,17,f,
Bert27,19,4,4,1.8,90,14,12,f,
Bert27,6,,1,1.9,67,72,,m,
Bert27,6,,2,2.1,78,100,,f,
Bert27,6,,3,1.6,81,25,,m,
Bert27,6,4,4,1.4,82,32,,m,
Bert27,31,1,1,2.3,69,10,19,f,
Bert27,31,,2,2.2,74,84,,f,
Bert27,31,,3,2.4,77,12,24,f,
Bert27,31,,4,2.4,75,113,,f,
Bert27,27,1,1,1.7,85,50,41,m,
Bert27,27,,2,1.5,82,118,,f,
Bert27,27,,3,1.7,80,96,,f,
Bert27,27,,4,1.7,92,41,22,f,
Bert27,33,1,1,1.5,81,14,20,f,
Bert27,33,,2,1.4,83,12,22,f,
Bert27,33,,3,2.3,72,12,,f,
Bert27,33,,4,2.4,77,5,,m,
Bert27,24,,1,1.3,97,38,40,m,
Bert27,24,,2,1.2,96,112,,m,
Bert27,24,3,3,1.2,97,42,13,f,
Bert27,24,,4,1.0,99,94,,f,
Bert27,11,,1,2.2,72,31,,m,
Bert27,11,,2,2.2,67,30,,f,
Bert27,11,3,3,1.2,96,7,,f,
Bert27,11,,4,1.3,96,7,,m,
Bert27,39,,1,1.8,82,81,36,m,
Bert27,39,,2,2.0,74,83,,m,
Bert27,39,,3,2.1,69,75,,m,
Bert27,39,4,4,1.8,85,106,17,f,
Bert27,41,,1,1.8,92,98,,m,
Bert27,41,,2,1.6,91,83,,f,
Bert27,41,,3,1.2,96,93,41,m,
Bert27,41,4,4,1.2,98,113,27,m,
Bert27,35,,1,1.1,97,5,28,m,
Bert27,35,,2,1.6,89,6,,f,
Bert27,35,,3,1.6,80,10,,m,
Bert27,35,4,4,1.1,99,15,24,f,
Bert27,21,1,1,1.1,98,34,30,m,
Bert27,21,,2,1.6,87,115,16,f,
Bert27,21,,3,1.5,83,108,14,f,
Bert27,21,,4,1.0,97,30,32,m,
Bert27,9,,1,2.4,75,113,,m,
Bert27,9,2,2,1.1,96,10,,m,
Bert27,9,,3,1.0,97,8,,f,
Bert27,9,,4,2.0,66,110,,f,
Bert27,32,,1,2.2,67,42,,f,
Bert27,32,,2,2.1,73,31,,m,
Bert27,32,,3,2.2,79,5,35,m,
Bert27,32,4,4,2.1,73,32,,f,
Bert27,30,,1,2.2,67,97,,m,
Bert27,30,,2,2.1,72,102,,m,
Bert27,30,3,3,2.0,78,50,21,f,
Bert27,30,,4,2.2,67,32,18,f,
Bert27,25,1,1,1.1,96,78,,m,
Bert27,25,,2,1.2,100,110,,m,
Bert27,25,,3,1.2,99,9,12,f,
Bert27,25,,4,1.0,99,13,19,f,
Bert27,14,,1,1.6,81,33,,m,
Bert27,14,,2,1.0,96,8,,m,
Bert27,14,,3,1.2,98,7,,m,
Bert27,14,4,4,1.8,88,33,,f,
Bert27,16,,1,2.1,73,91,25,m,
Bert27,16,,2,1.9,67,83,13,f,
Bert27,16,3,3,1.6,89,8,26,m,
Bert27,16,,4,1.4,88,5,33,m,
Bert27,29,,1,1.7,81,11,31,m,
Bert27,29,2,2,1.5,93,42,,f,
Bert27,29,,3,1.5,94,36,,m,
Bert27,29,,4,1.8,90,9,15,f,
Bert27,26,,1,1.0,95,9,18,f,
Bert27,26,2,2,1.2,97,29,,m,
Bert27,26,,3,1.0,97,27,,f,
Bert27,26,,4,1.1,95,12,25,m,
Bert27,20,,1,1.0,99,8,34,m,
Bert27,20,,2,2.2,69,28,35,m,
Bert27,20,,3,1.0,95,9,36,m,
Bert27,20,4,4,2.2,75,26,40,m,
Bert27,13,,1,1.2,98,12,,f,
Bert27,13,2,2,1.5,94,102,,f,
Bert27,13,,3,1.2,97,15,,f,
Bert27,13,,4,1.5,88,74,,f,
Bert27,10,,1,2.3,72,42,,m,
Bert27,10,2,2,1.6,91,14,,m,
Bert27,10,,3,2.2,71,49,,f,
Bert27,10,,4,1.4,92,13,,f,
Bert27,15,,1,1.8,89,21,27,m,
Bert27,15,2,2,1.6,88,27,20,f,
Bert27,15,,3,1.9,77,101,12,f,
Bert27,15,,4,2.2,76,99,29,m,
BEUT31,6,1,1,1.8,89,47,,m,
BEUT31,6,,2,1.8,83,25,,m,
BEUT31,6,,3,2.2,68,118,,m,
BEUT31,6,,4,2.2,68,70,,m,
BEUT31,16,1,1,2.0,72,109,18,f,
BEUT31,16,,2,1.7,91,15,40,m,
BEUT31,16,,3,2.3,66,93,34,m,
BEUT31,16,,4,1.7,87,6,32,m,
BEUT31,26,,1,1.0,97,15,25,m,
BEUT31,26,2,2,1.1,95,30,,f,
BEUT31,26,,3,1.3,96,34,,f,
BEUT31,26,,4,1.1,96,12,24,f,
BEUT31,11,1,1,1.2,100,6,,f,
BEUT31,11,,2,1.2,95,7,,f,
BEUT31,11,,3,2.0,67,31,,f,
BEUT31,11,,4,2.2,78,50,,f,
BEUT31,27,,1,1.8,80,117,,f,
BEUT31,27,2,2,1.8,84,39,11,f,
BEUT31,27,,3,1.8,82,79,,m,
BEUT31,27,,4,1.6,86,39,12,f,
BEUT31,33,,1,1.4,81,10,17,f,
BEUT31,33,2,2,1.6,89,9,31,m,
BEUT31,33,,3,2.4,71,8,,m,
BEUT31,33,,4,2.4,76,14,,f,
BEUT31,35,1,1,1.0,100,6,18,f,
